25.13071562	24.79826543	-116.5701617	-65.96798765	52.1878531	-3.451218017
37.57233436	-15.51310185	-65.90822929	-62.53100896	55.86182757	-0.683133612
112.6440799	76.70374841	-123.3906923	-45.14501276	-34.4772395	17.28859334
59.73716557	61.03616692	-109.8557114	-40.51527167	27.54479307	11.91111354
32.32498944	-0.872708379	-81.31489188	-74.17847618	50.70119859	8.024097748
59.78145505	-10.96611161	-68.3449198	-77.07035905	31.7639207	13.08381347
60.25632037	-5.30012042	-109.3199141	-114.293112	47.34753276	17.14258704
72.39937103	-6.720884205	-45.54835861	-13.64318959	39.23929721	-9.307756167
80.20372609	9.833915433	-115.6571199	-99.01793539	15.26668133	16.16416763
59.86184886	32.25730461	-133.6563978	-95.53521806	20.60900392	15.49301651
63.63402654	-18.62938482	-55.24054029	-57.89814789	7.282409601	13.40449092
47.00343453	18.04189384	-83.16502422	-59.38069468	38.73492887	9.989427948
65.99584333	-11.0326574	-66.23874814	-32.63760994	31.5764619	-5.604589217
89.49925118	20.99586127	-124.9470114	-81.84158975	1.327788975	20.40200944
58.40156359	3.477808916	-49.70342329	-25.19323785	32.2140646	2.38480601
80.0107919	4.022146257	-104.9492552	-72.47005543	23.95738398	8.773451311
37.2705614	-21.4983492	-47.89975456	-30.776249	57.54811474	-17.98989105
33.65602874	4.007521269	-68.025174	-52.93914362	66.05159097	3.060121656
48.70222764	-45.96404207	-8.78916835	-50.03974018	33.13194081	10.6085523
52.90496486	-52.83487898	39.17421001	-7.765989866	12.95929634	10.80470848
68.38536324	4.372890877	-85.7947186	-36.48396835	37.5167561	-9.641611149
43.5921226	-10.18868254	-79.47941681	-45.03819263	43.98773854	-14.34176558
36.12286754	-8.340172373	-78.80973816	-57.74129945	36.71576911	-1.222355342
72.92678089	-48.97631496	31.88537145	-1.510849627	17.24141357	9.201081015
53.56587319	-19.00094138	-76.81586733	-78.36029564	49.36429838	3.537670633
59.94701314	1.978397402	-104.3743352	-81.71686075	38.55197094	5.199091496
17.03831515	37.1115045	-97.1002726	-46.07259384	76.06450003	0.779553321
73.54732066	-0.963667599	-31.8908246	-7.906282561	32.6807035	0.147962332
47.14795746	-33.31288986	-55.41225198	-69.78326818	45.86015506	2.71939163
39.40394884	-6.749828127	-67.89434043	-55.15828602	67.74326208	-3.59109578

